id;name;description;type;parent_tag_id;created_at;updated_at;hide_in_liturgy;order;lit_day_identificator
404;sv. Augustina Žao Ronga, kněze a druhů;;40;;;;0;;augustine_zhao_rong_priest_and_companions_martyrs
405;sv. Jindřicha;;40;;;;0;;henry_ii_emperor
406;bl. Hroznaty;;40;;;;0;;hroznata_of_bohemia_martyr
407;sv. Kamila de Lellis;;40;;;;0;;camillus_de_lellis_priest
408;Panny Marie Karmelské;;40;;;;0;;our_lady_of_mount_carmel
409;bl. Česlava a sv. Hyacinta;;40;;;;0;;ceslaus_of_poland_and_hyacinth_of_poland_priests
410;sv. Vavřince z Brindisi;;40;;;;0;;lawrence_of_brindisi_priest
411;sv. Šarbela Machlúfa;;40;;;;0;;sharbel_makhluf_priest
412;sv. Gorazda a druhů;;40;;;;0;;gorazd_of_moravia_and_companions
413;sv. Petra Chryzologa;;40;;;;0;;peter_chrysologus_bishop
414;Nanebevzetí Panny Marie;;40;;;;0;;assumption
415;Proměnění Páně;;40;;;;0;;transfiguration
416;sv. Terezie Benedikty od Kříže;;40;;;;0;;teresa_benedicta_of_the_cross_stein_virgin
417;sv. Vavřince;;40;;;;0;;lawrence_of_rome_deacon
418;sv. Bartoloměje;;40;;;;0;;bartholomew_apostle
419;sv. Alfonsa Marie z Liguori;;40;;;;0;;alphonsus_liguori_bishop
420;sv. Jana Marie Vianneye;;40;;;;0;;john_mary_vianney_priest
421;sv. Dominika;;40;;;;0;;dominic_de_guzman_priest
422;sv. Kláry;;40;;;;0;;clare_of_assisi_virgin
423;sv. Maxmiliána Kolbeho;;40;;;;0;;maximilian_kolbe_priest
424;sv. Bernarda;;40;;;;0;;bernard_of_clairvaux_abbot
425;sv. Pia X.;;40;;;;0;;pius_x_pope
426;Panny Marie Královny;;40;;;;0;;queenship_of_mary
427;sv. Moniky;;40;;;;0;;monica_of_hippo
428;sv. Augustina;;40;;;;0;;augustine_of_hippo_bishop
429;Umučení sv. Jana Křtitele;;40;;;;0;;passion_of_saint_john_the_baptist
430;sv. Eusebia z Vercelli;;40;;;;0;;eusebius_of_vercelli_bishop
431;Petra Juliána Eymarda;;40;;;;0;;peter_julian_eymard_priest
432;Posvěcení římské baziliky Panny Marie;;40;;;;0;;dedication_of_the_basilica_of_saint_mary_major
433;sv. Sixta II., papeže, a druhů;;40;;;;0;;sixtus_ii_pope_and_companions_martyrs
434;sv. Kajetána;;40;;;;0;;cajetan_of_thiene_priest
435;sv. Jany Františky de Chantal;;40;;;;0;;jane_frances_de_chantal_religious
436;sv. Ponciána, papeže, a Hippolyta, kněze;;40;;;;0;;pontian_i_pope_and_hippolytus_of_rome_priest
437;sv. Štěpána Uherského;;40;;;;0;;stephen_i_of_hungary
438;sv. Jana Eudese;;40;;;;0;;john_eudes_priest
439;sv. Růženy z Limy;;40;;;;0;;rose_of_lima_virgin
440;sv. Ludvíka;;40;;;;0;;louis_ix_of_france
441;sv. Benedikta, Jana, Marouše, Izáka a Kristina;;40;;;;0;;first_polish_martyrs
442;sv. Josefa Kalasanského;;40;;;;0;;joseph_of_calasanz_priest
443;sv. Václava;;40;;;;0;;wenceslaus_i_of_bohemia_martyr
444;Povýšení sv. Kříže;;40;;;;0;;exaltation_of_the_holy_cross
445;Narození Panny Marie;;40;;;;0;;nativity_of_mary
446;sv. Matouše;;40;;;;0;;matthew_apostle
447;sv. Michaela, Gabriela a Rafaela;;40;;;;0;;michael_gabriel_and_raphael_archangels
448;sv. Řehoře Velikého;;40;;;;0;;gregory_i_the_great_pope
449;sv. Jana Zlatoústého;;40;;;;0;;john_chrysostom_bishop
450;Panny Marie Bolestné ;;40;;;;0;;our_lady_of_sorrows
451;sv. Ludmily;;40;;;;0;;ludmila_of_bohemia_martyr
452;sv. Ondřeje Kim Taegona, Pavla Chong Hasanga a druhů;;40;;;;0;;andrew_kim_tae_gon_priest_paul_chong_ha_sang_and_companions_martyrs
453;sv. Pia z Pietrelciny;;40;;;;0;;pius_of_pietrelcina_priest
